file,mode,csv_p50,csv_p75,csv_verdict,p50,p75,p90,n_components
lankadeepa_20260728_p10_full,full,17.0,20.0,MARGINAL,16.0,19.0,23.0,6314
lankadeepa_20260728_p11_full,full,16.0,20.0,MARGINAL,14.0,18.0,22.0,4330
lankadeepa_20260728_p12_full,full,13.0,21.0,MARGINAL,12.0,23.0,37.0,1806
lankadeepa_20260728_p13_full,full,15.0,18.0,MARGINAL,13.0,16.0,21.0,3480
lankadeepa_20260728_p14_full,full,17.0,19.0,MARGINAL,16.0,19.0,23.0,4110
lankadeepa_20260728_p15_full,full,18.0,20.0,MARGINAL,16.0,19.0,21.0,7394
lankadeepa_20260728_p16_full,full,17.0,19.0,MARGINAL,16.0,18.0,21.0,7052
lankadeepa_20260728_p17_full,full,16.0,19.0,MARGINAL,14.0,17.0,23.0,5631
lankadeepa_20260728_p18_full,full,17.0,19.0,MARGINAL,15.0,18.0,22.0,6347
lankadeepa_20260728_p19_full,full,16.0,19.0,MARGINAL,15.0,18.0,21.0,7128
lankadeepa_20260728_p20_full,full,16.0,19.0,MARGINAL,16.0,19.0,25.0,5066
lankadeepa_20260728_p21_full,full,17.0,20.0,MARGINAL,14.0,19.0,26.0,6796
lankadeepa_20260728_p22_full,full,17.0,19.0,MARGINAL,16.0,19.0,24.0,7568
lankadeepa_20260728_p23_full,full,17.0,19.0,MARGINAL,16.0,19.0,24.0,6564
dinamina_20260728_p01_half,half,19.0,22.0,MARGINAL,19.0,22.0,27.0,4327
dinamina_20260728_p02_half,half,19.0,21.0,MARGINAL,19.0,23.0,26.0,3593
dinamina_20260728_p03_half,half,16.0,21.0,MARGINAL,18.0,21.0,27.0,3125
dinamina_20260728_p04_half,half,16.0,21.0,MARGINAL,18.0,22.0,28.0,2503
dinamina_20260728_p05_half,half,19.0,23.0,MARGINAL,20.0,24.0,28.0,3552
dinamina_20260728_p06_half,half,20.0,22.0,MARGINAL,20.0,24.0,28.0,3648
dinamina_20260728_p07_half,half,18.0,23.0,MARGINAL,19.0,23.0,27.0,4318
dinamina_20260728_p08_half,half,19.0,22.0,MARGINAL,19.0,22.0,27.0,4039
dinamina_20260728_p09_half,half,19.0,22.0,MARGINAL,20.0,24.0,31.0,2851
dinamina_20260728_p10_half,half,18.0,22.0,MARGINAL,19.0,22.0,30.0,3956
dinamina_20260728_p11_half,half,19.0,22.0,MARGINAL,20.0,23.0,30.0,2701
dinamina_20260728_p12_half,half,20.0,22.0,MARGINAL,20.0,22.0,27.0,5064
dinamina_20260728_p13_half,half,19.0,22.0,MARGINAL,20.0,23.0,27.0,3741
dinamina_20260728_p14_half,half,19.0,23.0,MARGINAL,20.0,23.0,30.0,4398
dinamina_20260728_p15_half,half,19.0,22.0,MARGINAL,20.0,24.0,31.0,3733
dinamina_20260728_p16_half,half,17.0,22.0,MARGINAL,18.0,22.0,27.0,3302
dinamina_20260728_p17_half,half,21.0,24.0,MARGINAL,20.0,23.0,29.0,4037
dinamina_20260728_p18_half,half,21.0,23.0,MARGINAL,20.0,23.0,28.0,4627
dinamina_20260728_p19_half,half,19.0,22.0,MARGINAL,19.0,22.0,27.0,4865
dinamina_20260728_p20_half,half,20.0,22.0,MARGINAL,20.0,24.0,32.0,3878
dinamina_20260728_p21_half,half,19.0,22.0,MARGINAL,19.0,22.0,26.0,4665
dinamina_20260728_p22_half,half,17.0,22.0,MARGINAL,19.0,23.0,29.0,3152
dinamina_20260728_p23_half,half,19.0,22.0,MARGINAL,20.0,23.0,27.0,3568
dinamina_20260728_p24_half,half,19.0,21.0,MARGINAL,19.0,22.0,28.0,3367
dinamina_20260728_p25_half,half,17.0,21.0,MARGINAL,20.0,23.0,27.0,3127
dinamina_20260728_p26_half,half,20.0,22.0,MARGINAL,20.0,23.0,41.0,4114
dinamina_20260728_p27_half,half,19.0,22.0,MARGINAL,19.0,23.0,41.0,4241
dinamina_20260728_p28_half,half,17.0,21.0,MARGINAL,20.0,23.0,38.30000000000018,4538
dinamina_20260728_p29_half,half,17.0,21.0,MARGINAL,17.0,21.0,26.0,5194
dinamina_20260728_p30_half,half,19.0,23.0,MARGINAL,19.0,24.0,40.0,3927
dinamina_20260728_p31_half,half,18.0,22.0,MARGINAL,20.0,23.0,30.0,4098
dinamina_20260728_p32_half,half,14.0,20.0,MARGINAL,19.0,22.0,27.0,3323
dinamina_20260728_p33_half,half,15.0,21.0,MARGINAL,16.0,22.0,27.0,4336
dinamina_20260728_p34_half,half,19.0,22.0,MARGINAL,20.0,23.0,29.0,4906
dinamina_20260728_p35_half,half,18.0,22.0,MARGINAL,19.0,23.0,27.0,4720
